,Name,F,M,Prob_F
0,a,2.0,2.0,0.5
1,a'aff,1.0,0.0,1.0
2,a'aron,0.0,1.0,0.0
3,a'dele,1.0,0.0,1.0
4,a'isha,1.0,0.0,1.0
5,a'ishah,1.0,0.0,1.0
6,a'jana,1.0,0.0,1.0
7,a'janae,1.0,0.0,1.0
8,a'lmos,0.0,1.0,0.0
9,a'nette,1.0,0.0,1.0
10,a-jay,0.0,1.0,0.0
11,a.,0.0,1.0,0.0
12,a.j.,0.0,2.0,0.0
13,aaban,0.0,115.0,0.0
14,aabha,35.0,0.0,1.0
15,aabid,0.0,20.0,0.0
16,aabidah,5.0,0.0,1.0
17,aabigail,1.0,0.0,1.0
18,aabir,0.0,10.0,0.0
19,aabira,1.0,0.0,1.0
20,aabish,0.0,1.0,0.0
21,aabriella,38.0,0.0,1.0
22,aabrish,1.0,0.0,1.0
23,aachal,1.0,0.0,1.0
24,aada,13.0,0.0,1.0
25,aadam,0.0,275.0,0.0
26,aadan,0.0,130.0,0.0
27,aadarsh,0.0,210.0,0.0
28,aadav,0.0,1.0,0.0
29,aadavan,0.0,1.0,0.0
30,aadaya,8.0,0.0,1.0
31,aaden,5.0,4877.0,0.0010241704219582138
32,aadesh,0.0,23.0,0.0
33,aadhara,1.0,0.0,1.0
34,aadharsh,0.0,1.0,0.0
35,aadhav,0.0,217.0,0.0
36,aadhavan,0.0,44.0,0.0
37,aadhi,0.0,54.0,0.0
38,aadhira,109.0,0.0,1.0
39,aadhiran,0.0,6.0,0.0
40,aadhiyah,1.0,0.0,1.0
41,aadhvik,0.0,54.0,0.0
42,aadhvika,17.0,0.0,1.0
43,aadhya,1733.0,0.0,1.0
44,aadhyan,0.0,18.0,0.0
45,aadhyareddy,6.0,0.0,1.0
46,aadhyasri,7.0,0.0,1.0
47,aadi,16.0,857.0,0.018327605956471937
48,aadian,0.0,5.0,0.0
49,aadil,0.0,372.0,0.0
50,aadilynn,5.0,0.0,1.0
51,aadin,0.0,124.0,0.0
52,aadish,0.0,38.0,0.0
53,aadison,11.0,0.0,1.0
54,aadit,0.0,390.0,0.0
55,aadith,0.0,86.0,0.0
56,aadithya,0.0,11.0,0.0
57,aaditri,53.0,0.0,1.0
58,aaditya,0.0,579.0,0.0
59,aadiv,0.0,17.0,0.0
60,aadnan,0.0,1.0,0.0
61,aadon,0.0,118.0,0.0
62,aadoney,0.0,1.0,0.0
63,aadra,1.0,0.0,1.0
64,aadrian,0.0,12.0,0.0
65,aadrika,27.0,0.0,1.0
66,aadrit,0.0,15.0,0.0
67,aadriti,16.0,0.0,1.0
68,aadvi,7.0,0.0,1.0
69,aadvik,0.0,268.0,0.0
70,aadvika,65.0,0.0,1.0
71,aadya,1133.0,0.0,1.0
72,aadyaa,1.0,0.0,1.0
73,aadyant,0.0,6.0,0.0
74,aadyn,16.0,516.0,0.03007518796992481
75,aaenab,0.0,1.0,0.0
76,aaesha,1.0,0.0,1.0
77,aafia,7.0,0.0,1.0
78,aafiya,21.0,0.0,1.0
79,aafiyah,16.0,0.0,1.0
80,aafke,1.0,0.0,1.0
81,aafreen,9.0,0.0,1.0
82,aafrin,4.0,0.0,1.0
83,aaftaab,0.0,1.0,0.0
84,aaftab,0.0,5.0,0.0
85,aagam,0.0,31.0,0.0
86,aagampreet,0.0,1.0,0.0
87,aagand,0.0,1.0,0.0
88,aage,0.0,7.0,0.0
89,aagje,1.0,0.0,1.0
90,aagna,7.0,0.0,1.0
91,aagot,5.0,0.0,1.0
92,aahaan,0.0,45.0,0.0
93,aahan,0.0,319.0,0.0
94,aahana,637.0,0.0,1.0
95,aaheli,10.0,0.0,1.0
96,aahil,0.0,627.0,0.0
97,aahim,0.0,1.0,0.0
98,aahir,0.0,7.0,0.0
99,aahlia,1.0,0.0,1.0
100,aahlia-clare,1.0,0.0,1.0
101,aahliyah,24.0,0.0,1.0
102,aahna,89.0,0.0,1.0
103,aahron,0.0,6.0,0.0
104,aaidan,0.0,39.0,0.0
105,aaiden,0.0,835.0,0.0
106,aaidyn,0.0,65.0,0.0
107,aaila,53.0,0.0,1.0
108,aailiyah,15.0,0.0,1.0
109,aailyah,202.0,0.0,1.0
110,aaima,80.0,0.0,1.0
111,aaira,183.0,0.0,1.0
112,aairah,131.0,0.0,1.0
113,aaisha,221.0,0.0,1.0
114,aaishah,23.0,0.0,1.0
115,aaiyana,5.0,0.0,1.0
116,aaiza,24.0,0.0,1.0
117,aaja,5.0,0.0,1.0
118,aajad,0.0,1.0,0.0
119,aajah,29.0,0.0,1.0
120,aajaylah,20.0,0.0,1.0
121,aajiah,1.0,0.0,1.0
122,aajiv,0.0,1.0,0.0
123,aajon,0.0,8.0,0.0
124,aakanksha,12.0,0.0,1.0
125,aakar,0.0,1.0,0.0
126,aakarsh,0.0,59.0,0.0
127,aakas,0.0,1.0,0.0
128,aakash,0.0,1003.0,0.0
129,aakeem,0.0,16.0,0.0
130,aakib,0.0,1.0,0.0
131,aakif,0.0,5.0,0.0
132,aakil,0.0,14.0,0.0
133,aakilah,18.0,0.0,1.0
134,aakira,5.0,0.0,1.0
135,aakiyah,5.0,0.0,1.0
136,aakristy,1.0,0.0,1.0
137,aakriti,56.0,0.0,1.0
138,aakya,0.0,1.0,0.0
139,aala,106.0,0.0,1.0
140,aalaa,1.0,0.0,1.0
141,aalaiya,7.0,0.0,1.0
142,aalaiyah,68.0,0.0,1.0
143,aalam,0.0,9.0,0.0
144,aalamjot,0.0,1.0,0.0
145,aalana,55.0,0.0,1.0
146,aalanah,21.0,0.0,1.0
147,aalani,99.0,0.0,1.0
148,aalap,0.0,6.0,0.0
149,aalasia,5.0,0.0,1.0
150,aalaya,147.0,0.0,1.0
151,aalayah,846.0,0.0,1.0
152,aalayiah,20.0,0.0,1.0
153,aalayjah,6.0,0.0,1.0
154,aalayna,40.0,0.0,1.0
155,aalaysha,17.0,0.0,1.0
156,aalaysia,138.0,0.0,1.0
157,aale'yah,1.0,0.0,1.0
158,aalea,7.0,0.0,1.0
159,aaleah,283.0,0.0,1.0
160,aaleahya,20.0,0.0,1.0
161,aaleahyah,1.0,0.0,1.0
162,aaleayah,5.0,0.0,1.0
163,aaleen,1.0,0.0,1.0
164,aaleena,5.0,0.0,1.0
165,aaleeya,5.0,0.0,1.0
166,aaleeyah,130.0,0.0,1.0
167,aaleia,1.0,0.0,1.0
168,aaleiah,6.0,0.0,1.0
169,aaleigha,171.0,0.0,1.0
170,aaleiya,29.0,0.0,1.0
171,aaleiyah,49.0,0.0,1.0
172,aalena,5.0,0.0,1.0
173,aaleshia,1.0,0.0,1.0
174,aalexis,20.0,0.0,1.0
175,aalexus,6.0,0.0,1.0
176,aaley,1.0,0.0,1.0
177,aaleya,17.0,0.0,1.0
178,aaleyah,1202.0,0.0,1.0
179,aali,0.0,6.0,0.0
180,aali-tae,1.0,0.0,1.0
181,aalia,508.0,0.0,1.0
182,aaliaa,1.0,0.0,1.0
183,aaliah,921.0,0.0,1.0
184,aaliana,24.0,0.0,1.0
185,aalias,0.0,5.0,0.0
186,aaliayah,124.0,0.0,1.0
187,aaliayh,47.0,0.0,1.0
188,aalicia,5.0,0.0,1.0
189,aalieah,1.0,0.0,1.0
190,aalieyah,5.0,0.0,1.0
191,aaligha,1.0,0.0,1.0
192,aaliha,12.0,0.0,1.0
193,aalihya,1.0,0.0,1.0
194,aalijah,150.0,212.0,0.4143646408839779
195,aalilah,6.0,0.0,1.0
196,aalim,0.0,34.0,0.0
197,aalimah,11.0,0.0,1.0
198,aalina,72.0,0.0,1.0
199,aalinah,6.0,0.0,1.0
200,aalisa,6.0,0.0,1.0
201,aalisha,36.0,0.0,1.0
202,aalivia,62.0,0.0,1.0
203,aaliviyah,1.0,0.0,1.0
204,aaliya,1245.0,0.0,1.0
205,aaliyaa,5.0,0.0,1.0
206,aaliyah,88543.0,96.0,0.9989169552905606
207,aaliyah-jade,1.0,0.0,1.0
208,aaliyah-jane,1.0,0.0,1.0
209,aaliyah-marie,1.0,0.0,1.0
210,aaliyah-rose,1.0,0.0,1.0
211,aaliyaha,21.0,0.0,1.0
212,aaliyaha-rubie,1.0,0.0,1.0
213,aaliyahmarie,44.0,0.0,1.0
214,aaliyahrose,28.0,0.0,1.0
215,aaliyan,110.0,6.0,0.9482758620689655
216,aaliyana,114.0,0.0,1.0
217,aaliyanna,5.0,0.0,1.0
218,aaliyeh,1.0,0.0,1.0
219,aaliyh,1.0,0.0,1.0
220,aaliyha,438.0,0.0,1.0
221,aaliyiah,41.0,0.0,1.0
222,aalla,1.0,0.0,1.0
223,aallirah,1.0,0.0,1.0
224,aalliyah,164.0,0.0,1.0
225,aallyah,5.0,0.0,1.0
226,aaloh,1.0,0.0,1.0
227,aalok,0.0,10.0,0.0
228,aalon,0.0,5.0,0.0
229,aaloni,5.0,0.0,1.0
230,aaltje,1.0,0.0,1.0
231,aalya,54.0,0.0,1.0
232,aalyah,653.0,0.0,1.0
233,aalyarna,1.0,0.0,1.0
234,aalycia,25.0,0.0,1.0
235,aalyha,20.0,0.0,1.0
236,aalyia,5.0,0.0,1.0
237,aalyiah,756.0,0.0,1.0
238,aalyna,5.0,0.0,1.0
239,aalyrah,1.0,0.0,1.0
240,aalysia,6.0,0.0,1.0
241,aalyssa,115.0,0.0,1.0
242,aalyvia,5.0,0.0,1.0
243,aamanda,20.0,0.0,1.0
244,aamanee,10.0,0.0,1.0
245,aamaney,1.0,0.0,1.0
246,aamani,181.0,0.0,1.0
247,aamar,0.0,5.0,0.0
248,aamaraiis,1.0,0.0,1.0
249,aamari,86.0,123.0,0.41148325358851673
250,aamarion,0.0,10.0,0.0
251,aamaya,10.0,0.0,1.0
252,aamber,23.0,0.0,1.0
253,aamelia,1.0,0.0,1.0
254,aamena,10.0,0.0,1.0
255,aamer,0.0,41.0,0.0
256,aami,1.0,0.0,1.0
257,aamia,22.0,0.0,1.0
258,aamil,0.0,28.0,0.0
259,aamilah,78.0,0.0,1.0
260,aamin,0.0,3.0,0.0
261,aamina,324.0,0.0,1.0
262,aaminah,413.0,0.0,1.0
263,aamir,6.0,2020.0,0.0029615004935834156
264,aamira,335.0,0.0,1.0
265,aamirah,197.0,0.0,1.0
266,aamish,0.0,1.0,0.0
267,aamiya,57.0,0.0,1.0
268,aamiyah,407.0,0.0,1.0
269,aamna,220.0,0.0,1.0
270,aamod,0.0,2.0,0.0
271,aamogh,0.0,1.0,0.0
272,aamon,0.0,1.0,0.0
273,aamoni,10.0,0.0,1.0
274,aamora,5.0,0.0,1.0
275,aamorah,5.0,0.0,1.0
276,aamori,101.0,0.0,1.0
277,aamosh,0.0,1.0,0.0
278,aamreen,2.0,0.0,1.0
279,aamrin,1.0,0.0,1.0
280,aamya,121.0,0.0,1.0
281,aamyah,57.0,0.0,1.0
282,aana,18.0,0.0,1.0
283,aanad,0.0,2.0,0.0
284,aanamika,1.0,0.0,1.0
285,aanand,0.0,13.0,0.0
286,aanav,0.0,44.0,0.0
287,aanay,0.0,23.0,0.0
288,aanaya,58.0,0.0,1.0
289,aanchal,76.0,0.0,1.0
290,aanchan,0.0,1.0,0.0
291,aangus,0.0,1.0,0.0
292,aania,58.0,0.0,1.0
293,aaniah,34.0,0.0,1.0
294,aanijah,5.0,0.0,1.0
295,aanik,1.0,6.0,0.14285714285714285
296,aanika,295.0,0.0,1.0
297,aanikka,1.0,0.0,1.0
298,aanil,0.0,1.0,0.0
299,aanisah,39.0,0.0,1.0
300,aaniya,329.0,0.0,1.0
301,aaniyah,1199.0,0.0,1.0
302,aaniylah,11.0,0.0,1.0
303,aansh,0.0,32.0,0.0
304,aanshi,94.0,0.0,1.0
